종목코드,종목명,시장,현재가,20일평균,상승률,거래량
482630,삼양엔씨켐,KOSDAQ,22500,19457,15.64,202284
086890,이수앱지스,KOSDAQ,6240,5762,8.29,203680
389020,자람테크놀로지,KOSDAQ,39350,35102,12.1,97034
318060,그래피,KOSDAQ,21550,16863,27.79,1637808
003610,방림,KOSPI,5900,5556,6.19,129902
484810,티엑스알로보틱스,KOSDAQ,15130,14334,5.55,143860
012210,삼미금속,KONEX,11870,10093,17.6,748
028100,동아지질,KOSPI,17450,16035,8.82,60000
037460,삼지전자,KOSDAQ,14160,13188,7.37,67736
371950,풍원정밀,KOSDAQ,10130,9594,5.58,20562
290690,소룩스,KOSDAQ,4620,4254,8.6,467520
123410,코리아에프티,KOSDAQ,8280,7245,14.29,339580
332570,PS일렉트로닉스,KOSDAQ,5080,4744,7.07,695093
126600,BGF에코머티리얼즈,KOSDAQ,3520,3223,9.2,183875
112290,와이씨켐,KOSDAQ,21600,20550,5.11,42241
298690,에어부산,KOSPI,1878,1773,5.91,1140363
256940,킵스파마,KOSDAQ,10700,9802,9.16,71493
118990,모트렉스,KOSDAQ,8460,7953,6.37,44048
060150,인선이엔티,KOSDAQ,4445,4223,5.25,127337
244920,에이플러스에셋,KOSPI,8930,8078,10.55,379486
080580,오킨스전자,KOSDAQ,10240,8729,17.3,631420
014280,금강공업,KOSPI,6690,6128,9.16,967367
004310,현대약품,KOSPI,6110,4176,46.3,5136378
464080,에스오에스랩,KOSDAQ,11020,10109,9.01,325419
054450,텔레칩스,KOSDAQ,12910,11985,7.72,81318
040300,YTN,KOSDAQ,4085,3718,9.86,9934537
107600,새빗켐,KOSDAQ,34300,32250,6.36,65302
019210,와이지-원,KOSDAQ,5660,5272,7.36,76008
091580,상신이디피,KOSDAQ,13810,13148,5.03,459369
260870,SK시그넷,KONEX,9790,8974,9.09,5125
108230,톱텍,KOSDAQ,4825,4575,5.45,75711
013580,계룡건설,KOSPI,20150,18782,7.28,44847
217820,원익피앤이,KOSDAQ,3755,3503,7.19,654189
264850,이랜시스,KOSDAQ,5860,5350,9.52,841031
146320,비씨엔씨,KOSDAQ,13650,12789,6.73,43897
340450,지씨지놈,KOSDAQ,7330,6947,5.51,150587
417970,모델솔루션,KOSDAQ,26900,21621,24.42,970681
327260,RF머트리얼즈,KOSDAQ,20500,18426,11.26,234703
456070,이엔셀,KOSDAQ,15580,13478,15.59,168932
069510,에스텍,KOSDAQ,15700,14878,5.52,9248
033340,좋은사람들,KOSDAQ,1730,1575,9.81,758598
220260,켐트로스,KOSDAQ,6200,4640,33.62,880681
049950,미래컴퍼니,KOSDAQ,18510,16963,9.12,98788
