테마번호,테마명,전일대비,최근3일등락률,상승,보합,하락,주도주1,주도주1코드,주도주2,주도주2코드,페이지
507,마이데이터,-0.11%,+0.38%,3,0,8,쿠콘,294570,NICE평..,030190,3
472,2차전지(전고체),-0.12%,+0.93%,9,0,21,석경에이티,357550,레이크머티..,281740,3
113,음식료업종,-0.13%,-0.31%,23,5,37,에스앤디,260970,우양,103840,3
527,윤활유,-0.13%,-0.13%,3,0,4,S-Oil,010950,극동유화,014530,3
12,반도체 장비,-0.14%,+0.23%,31,2,57,자비스,254120,제이스텍,090470,3
144,방위산업/전쟁 및 테러,-0.14%,+0.51%,18,2,41,삼양컴텍,484590,YTN,040300,3
184,수자원(양적/질적 개선),-0.16%,-0.11%,8,3,16,코오롱생명..,102940,KG케미칼,001390,3
307,시스템반도체,-0.16%,+0.52%,16,1,37,넥스트칩,396270,사피엔반도..,452430,3
63,제지,-0.20%,+0.11%,5,3,6,한국수출포..,002200,페이퍼코리..,001020,3
139,출산장려정책,-0.20%,+0.01%,9,1,11,네오팜,092730,헝셩그룹,900270,3
159,자동차 대표주,-0.20%,+0.79%,3,1,3,현대모비스,012330,HL만도,204320,4
234,보안주(물리),-0.20%,0.00%,6,0,13,이노뎁,303530,피제이전자,006140,4
405,MLCC(적층세라믹콘덴서),-0.20%,+0.16%,2,1,7,네온테크,306620,코칩,126730,4
511,니켈,-0.20%,+0.34%,6,0,9,대양금속,009190,다이나믹디..,145210,4
119,창투사,-0.21%,+0.60%,8,1,11,아주IB투..,027360,스톤브릿지..,330730,4
110,화장품,-0.22%,+0.07%,35,5,52,셀로맥스사..,471820,인크레더블..,064090,4
329,전력저장장치(ESS),-0.23%,+0.56%,13,1,27,유니테크노,241690,와이엠텍,273640,4
32,패션/의류,-0.24%,+0.07%,20,3,36,폰드그룹,472850,코오롱인더,120110,4
298,희귀금속(희토류 등),-0.24%,+0.28%,3,2,9,성안머티리..,011300,삼화전자,011230,4
387,블록체인,-0.24%,-0.01%,5,1,17,아이티센글..,124500,한국전자인..,041460,4
401,원자력발전소 해체,-0.24%,+0.59%,5,2,8,우진,105840,비에이치아..,083650,4
126,통신,-0.25%,-0.38%,1,0,2,KT,030200,LG유플러..,032640,4
525,렌터카,-0.26%,-0.02%,1,0,3,쏘카,403550,레드캡투어,038390,4
482,두나무(Dunamu),-0.27%,-0.29%,4,0,7,코오롱인더,120110,코오롱,002020,4
500,폐배터리,-0.27%,+1.79%,3,0,17,아이에스동..,010780,원익피앤이,217820,4
537,초전도체,-0.27%,+0.59%,7,0,8,원익피앤이,217820,LS EL..,010120,4
59,광고,-0.28%,-0.25%,10,0,15,이엠넷,123570,YG PL..,037270,4
97,RFID(NFC 등),-0.28%,-0.15%,6,0,12,에이스테크,088800,쓰리에이로..,177900,4
171,비철금속,-0.28%,+0.21%,6,2,18,삼아알미늄,006110,대양금속,009190,4
481,마켓컬리(kurly),-0.28%,+0.43%,2,0,8,우양,103840,이씨에스,067010,4
64,2차전지,-0.29%,+0.88%,44,3,97,자비스,254120,이노메트리,302430,4
108,"백신/진단시약/방역(신종플루, AI 등)",-0.29%,-0.14%,13,2,27,큐라티스,348080,에이프로젠..,003060,4
17,SI(시스템통합),-0.30%,+0.34%,6,2,22,아이티센글..,124500,아이티센엔..,010280,4
284,기업인수목적회사(SPAC),-0.30%,+0.01%,8,35,37,대신밸런스..,482690,삼성스팩1..,0096B0,4
19,황사/미세먼지,-0.31%,+0.35%,6,5,14,케이웨더,068100,파세코,037070,4
52,교육/온라인 교육,-0.31%,-0.27%,11,2,15,로보로보,215100,웅진씽크빅,095720,4
172,제약업체,-0.32%,+0.43%,29,2,56,일동제약,249420,폴라리스A..,041910,4
185,정유,-0.32%,+0.12%,1,0,2,S-Oil,010950,SK이노베..,096770,4
524,모듈러주택,-0.32%,+0.11%,2,2,6,금강공업,014280,덕신이피씨,090410,4
76,여름,-0.34%,-0.22%,9,3,16,파세코,037070,남해화학,025860,4
269,LED장비,-0.34%,-0.07%,3,0,8,네온테크,306620,탑엔지니어..,065130,4
506,탈모 치료,-0.34%,+1.40%,8,0,12,올릭스,226950,피플바이오,304840,4
